"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl"
1228976816.438,23.115,23.580,1.20e-21,2972.959,2.000,5916.947754,0.000,0.000,1.000,"5ecFWo49WY","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/5ecFWo49WY.png"
1228982123.813,24.822,44.834,1.37e-21,3980.537,6.096,7939.890625,0.000,0.000,1.000,"I4nEaeiVqw","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/I4nEaeiVqw.png"
1228983662.938,24.822,43.295,1.37e-21,3979.047,7.104,7942.870605,0.000,0.000,1.000,"zpvcZTjeYX","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/zpvcZTjeYX.png"
1228993809.938,21.913,12.656,1.10e-21,3982.484,2.466,7935.997070,0.000,0.000,1.000,"kTch2iclXR","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/kTch2iclXR.png"
1228993778.938,23.953,21.439,9.14e-22,3982.484,2.721,7935.997070,0.000,0.000,0.999,"RkwAYLxTNz","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/RkwAYLxTNz.png"
1228992744.563,21.526,19.991,1.57e-21,3977.720,9.000,7945.525879,0.000,0.000,0.999,"wYlS62cmby","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/wYlS62cmby.png"
1229065855.438,23.531,10.253,5.46e-22,20.497,1.500,12.023720,0.000,0.000,0.999,"yW5b8Zeh69","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/yW5b8Zeh69.png"
1228992918.563,25.722,26.292,7.91e-22,3984.217,3.346,7932.532227,0.000,0.000,0.999,"YgpdOuFsy4","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/YgpdOuFsy4.png"
1228984201.188,21.913,13.610,9.51e-22,3982.484,2.061,7935.997070,0.000,0.000,0.999,"KEoOBjBYe8","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/KEoOBjBYe8.png"
1228994228.688,22.707,19.849,9.40e-22,3656.711,4.325,7290.042480,0.000,0.000,0.999,"kOrOG0LTop","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/kOrOG0LTop.png"
1229067114.625,10.189,7.839,5.34e-19,18.804,2.000,22.384390,0.000,0.000,0.999,"fKXAtkRpSM","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/fKXAtkRpSM.png"
1229143749.438,22.306,33.013,1.59e-21,3982.484,2.897,7935.997070,0.000,0.000,0.999,"JLyjJq5Eg8","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/qjYZFqQhHo/JLyjJq5Eg8.png"
1229054282.313,31.851,87.732,1.62e-21,3977.241,39.000,7946.482910,0.000,0.000,0.999,"nkw8YG9dnW","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/nkw8YG9dnW.png"
1228973687.813,24.384,33.033,1.13e-21,3981.011,4.010,7938.943359,0.000,0.000,0.999,"2Q5P9iZQx9","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/2Q5P9iZQx9.png"
1229139335.563,23.953,18.270,7.05e-22,3982.484,2.568,7935.997070,0.000,0.000,0.999,"utIBdABWag","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/qjYZFqQhHo/utIBdABWag.png"
1228987972.938,26.655,26.283,6.71e-22,3979.958,2.574,7941.049805,0.000,0.000,0.999,"i3aAO3RFNn","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/i3aAO3RFNn.png"
1228970030.813,23.953,29.039,1.06e-21,3587.577,6.500,7154.669434,0.000,0.000,0.999,"QxwD1tmS0o","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/QxwD1tmS0o.png"
1228994329.313,27.621,62.323,1.49e-21,3977.241,20.305,7946.482910,0.000,0.000,0.999,"lKw79ZeMn5","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/lKw79ZeMn5.png"
1228993488.039,24.802,7.975,2.54e-22,3984.217,1.750,7932.532227,0.000,0.000,0.999,"Gp4ab09S1N","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/9avBuCi9L4/Gp4ab09S1N.png"
1229063491.813,21.146,13.060,2.57e-21,3878.708,2.250,7738.079590,0.000,0.000,0.999,"UbAVbBS3XR","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/O3/ER13/XbrzDBIhP7/UbAVbBS3XR.png"
