"GPStime","peakFreq","snr","amplitude","centralFreq","duration","bandwidth","chisq","chisqDof","confidence","id","ifo","label","imgUrl"
1237706043.625,31.293,13.738,2.60e-22,3884.997,3.500,7725.503418,0.000,0.000,1.000,"A2s9qhhRZW","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/wvkkrFTj7b/A2s9qhhRZW.png"
1237706043.625,31.293,13.738,2.60e-22,3884.997,3.500,7725.503418,0.000,0.000,1.000,"F4eS1f0kJu","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/C3Rmr9Z1Ow/F4eS1f0kJu.png"
1237706043.625,31.293,13.738,2.60e-22,3884.997,3.500,7725.503418,0.000,0.000,1.000,"kqYqtgFeiF","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/caOyvClwjb/kqYqtgFeiF.png"
1237706043.625,31.293,13.738,2.60e-22,3884.997,3.500,7725.503418,0.000,0.000,1.000,"IlrE18AQ9L","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/PgBF6d5HPx/IlrE18AQ9L.png"
1237706043.625,31.293,13.738,2.60e-22,3884.997,3.500,7725.503418,0.000,0.000,1.000,"1qJ7tnRwiS","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/qWWqBq0Uiy/1qJ7tnRwiS.png"
1237900313.375,29.012,12.486,2.37e-22,3986.364,1.828,7928.237793,0.000,0.000,1.000,"sKlQsUAfg3","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/7mNq8WocDf/sKlQsUAfg3.png"
1237814251.188,26.655,10.337,2.15e-22,32.288,1.250,20.087000,0.000,0.000,1.000,"fiGSlNlOIA","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/YUNKaPeBXn/fiGSlNlOIA.png"
1237904955.688,28.117,10.806,2.32e-22,3696.682,1.043,7348.873535,0.000,0.000,1.000,"NCNfHuDi95","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/ztWw1Fl7il/NCNfHuDi95.png"
1237575983.688,28.623,12.206,1.80e-22,3984.217,5.500,7932.532227,0.000,0.000,1.000,"QerP8qASbv","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/wvkkrFTj7b/QerP8qASbv.png"
1237575983.688,28.623,12.206,1.80e-22,3984.217,5.500,7932.532227,0.000,0.000,1.000,"Se6BxtJrjP","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/C3Rmr9Z1Ow/Se6BxtJrjP.png"
1237575983.688,28.623,12.206,1.80e-22,3984.217,5.500,7932.532227,0.000,0.000,1.000,"sjX3U0sKEv","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/caOyvClwjb/sjX3U0sKEv.png"
1237575983.688,28.623,12.206,1.80e-22,3984.217,5.500,7932.532227,0.000,0.000,1.000,"Cz0G4XmUiI","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/PgBF6d5HPx/Cz0G4XmUiI.png"
1237575983.688,28.623,12.206,1.80e-22,3984.217,5.500,7932.532227,0.000,0.000,1.000,"bpfUswwyaF","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/qWWqBq0Uiy/bpfUswwyaF.png"
1237362371.125,30.131,9.056,1.48e-22,3987.325,2.750,7926.315430,0.000,0.000,1.000,"3J5VnY95dI","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/zhBDdj4mPW/3J5VnY95dI.png"
1237553947.375,26.394,12.507,2.89e-22,35.204,1.750,34.507389,0.000,0.000,1.000,"saYIZ03uB0","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/wvkkrFTj7b/saYIZ03uB0.png"
1237553947.375,26.394,12.507,2.89e-22,35.204,1.750,34.507389,0.000,0.000,1.000,"6kFBxAB8WP","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/C3Rmr9Z1Ow/6kFBxAB8WP.png"
1237553947.375,26.394,12.507,2.89e-22,35.204,1.750,34.507389,0.000,0.000,1.000,"8GExWU5cba","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/caOyvClwjb/8GExWU5cba.png"
1237553947.375,26.394,12.507,2.89e-22,35.204,1.750,34.507389,0.000,0.000,1.000,"CTZzEidt7n","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/PgBF6d5HPx/CTZzEidt7n.png"
1237553947.375,26.394,12.507,2.89e-22,35.204,1.750,34.507389,0.000,0.000,1.000,"eCAHytwPBn","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/qWWqBq0Uiy/eCAHytwPBn.png"
1237133737.438,28.117,9.081,1.96e-22,3984.217,3.250,7932.532227,0.000,0.000,1.000,"C99gJpybof","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/zhBDdj4mPW/C99gJpybof.png"
1237365474.625,32.808,8.364,8.87e-23,3988.394,1.584,7924.177246,0.000,0.000,1.000,"Qxcv6SC2a7","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/zhBDdj4mPW/Qxcv6SC2a7.png"
1237578414.125,28.739,9.269,1.77e-22,3984.217,1.500,7932.532227,0.000,0.000,1.000,"rkB4VhbvN6","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/wvkkrFTj7b/rkB4VhbvN6.png"
1237578414.125,28.739,9.269,1.77e-22,3984.217,1.500,7932.532227,0.000,0.000,1.000,"S2PeBRWev1","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/C3Rmr9Z1Ow/S2PeBRWev1.png"
1237578414.125,28.739,9.269,1.77e-22,3984.217,1.500,7932.532227,0.000,0.000,1.000,"hrOUtDdKv9","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/caOyvClwjb/hrOUtDdKv9.png"
1237578414.125,28.739,9.269,1.77e-22,3984.217,1.500,7932.532227,0.000,0.000,1.000,"JwUVmrd6Mq","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/PgBF6d5HPx/JwUVmrd6Mq.png"
1237578414.125,28.739,9.269,1.77e-22,3984.217,1.500,7932.532227,0.000,0.000,1.000,"Oe2aQb24mj","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/qWWqBq0Uiy/Oe2aQb24mj.png"
1237810385.813,23.953,9.162,4.34e-22,3984.217,1.720,7932.532227,0.000,0.000,1.000,"BPFBvfjU8I","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/RNISRcYZmT/BPFBvfjU8I.png"
1237814171.375,30.998,8.858,2.02e-22,3707.102,1.293,7369.713867,0.000,0.000,1.000,"b8mSzRHScO","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/YUNKaPeBXn/b8mSzRHScO.png"
1237465116.539,31.386,14.143,1.82e-22,3984.217,5.796,7932.532227,0.000,0.000,1.000,"vxnB1jVMdk","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/zhBDdj4mPW/vxnB1jVMdk.png"
1236343153.953,37.495,11.711,1.47e-22,43.626,1.563,42.762009,0.000,0.000,1.000,"MjC9SmjBi9","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/okSgFvGFaT/MjC9SmjBi9.png"
1237781622.328,37.495,16.843,1.48e-22,3683.306,1.500,7322.729004,0.000,0.000,1.000,"snMDur2KiM","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/f3DCGz3JXC/snMDur2KiM.png"
1237815172.688,30.736,10.689,1.60e-22,1360.056,1.750,2678.537354,0.000,0.000,1.000,"jc2EBxB2wL","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/v4QWZNh0Ng/jc2EBxB2wL.png"
1238001168.625,26.394,13.494,3.28e-22,35.204,1.500,34.507389,0.000,0.000,1.000,"W01LWK7RUz","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/v9YCKhiU7L/W01LWK7RUz.png"
1238001168.625,26.394,13.494,3.28e-22,35.204,1.500,34.507389,0.000,0.000,1.000,"bFJknwzXt9","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/bim3m1d6G7/bFJknwzXt9.png"
1237909780.203,35.205,12.266,1.40e-22,35.204,1.750,34.507389,0.000,0.000,1.000,"2bCkJ4DC5r","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/0EKVzAOlFw/2bCkJ4DC5r.png"
1237130155.414,35.306,15.080,1.69e-22,2321.650,2.000,4601.726563,0.000,0.000,1.000,"mjn7QMNJTE","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/zhBDdj4mPW/mjn7QMNJTE.png"
1236855512.688,28.117,9.480,1.86e-22,2965.069,1.750,5894.235352,0.000,0.000,1.000,"x5KWOicl3s","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/X6zLkZOkwn/x5KWOicl3s.png"
1237899193.875,27.935,14.045,2.73e-22,35.204,1.750,34.507389,0.000,0.000,1.000,"No0dkrgwBH","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/7mNq8WocDf/No0dkrgwBH.png"
1237917810.867,31.386,11.653,1.73e-22,1819.684,1.750,3603.466064,0.000,0.000,1.000,"ALPvmDe54w","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/LablzXe9mo/ALPvmDe54w.png"
1237375812.688,35.442,9.301,1.00e-22,3990.037,1.427,7920.891113,0.000,0.000,1.000,"9cQOcG63Ov","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/zhBDdj4mPW/9cQOcG63Ov.png"
1237575858.047,35.205,7.903,1.09e-22,39.382,1.031,26.152790,0.000,0.000,1.000,"GCC5IvOjwm","L1","Scattered_Light","https://ldas-jobs.ligo-la.caltech.edu/~gravityspy/runs/O3/wvkkrFTj7b/GCC5IvOjwm.png"
